PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"25281227","Comparison of the acceptability and benefits of two mindfulness-based interventions in women with breast or gynecologic cancer: a pilot study","Stafford L, Thomas N, Foley E, Judd F, Gibson P, Komiti A, Couper J, Kiropoulos L.","Support Care Cancer. 2015 Apr;23(4):1063-71. doi: 10.1007/s00520-014-2442-6. Epub 2014 Oct 4.","Stafford L","Support Care Cancer","2015","2014/10/05","","","10.1007/s00520-014-2442-6"
"21356643","Mindfulness-based stress reduction among breast cancer survivors: a literature review and discussion","Matchim Y, Armer JM, Stewart BR.","Oncol Nurs Forum. 2011 Mar;38(2):E61-71. doi: 10.1188/11.ONF.E61-E71.","Matchim Y","Oncol Nurs Forum","2011","2011/03/02","","","10.1188/11.ONF.E61-E71"
"27838273","The effects of adaptive working memory training and mindfulness meditation training on processing efficiency and worry in high worriers","Course-Choi J, Saville H, Derakshan N.","Behav Res Ther. 2017 Feb;89:1-13. doi: 10.1016/j.brat.2016.11.002. Epub 2016 Nov 10.","Course-Choi J","Behav Res Ther","2017","2016/11/14","","","10.1016/j.brat.2016.11.002"
"26262911","Outcomes of a Multimodal Resilience Training Program in an Outpatient Integrative Medicine Clinic","Griffin KH, Johnson JR, Kitzmann JP, Kolste AK, Dusek JA.","J Altern Complement Med. 2015 Oct;21(10):628-37. doi: 10.1089/acm.2015.0130. Epub 2015 Aug 11.","Griffin KH","J Altern Complement Med","2015","2015/08/12","","","10.1089/acm.2015.0130"
"24135553","The effect of focused attention and open monitoring meditation on attention network function in healthy volunteers","Ainsworth B, Eddershaw R, Meron D, Baldwin DS, Garner M.","Psychiatry Res. 2013 Dec 30;210(3):1226-31. doi: 10.1016/j.psychres.2013.09.002. Epub 2013 Oct 14.","Ainsworth B","Psychiatry Res","2013","2013/10/19","","","10.1016/j.psychres.2013.09.002"
"25132206","Randomized controlled pilot study of mindfulness-based stress reduction for persistently fatigued cancer survivors","Johns SA, Brown LF, Beck-Coon K, Monahan PO, Tong Y, Kroenke K.","Psychooncology. 2015 Aug;24(8):885-93. doi: 10.1002/pon.3648. Epub 2014 Aug 17.","Johns SA","Psychooncology","2015","2014/08/19","PMC4331267","NIHMS623919","10.1002/pon.3648"
"28752554","A systematic review of the impact of mindfulness on the well-being of healthcare professionals","Lomas T, Medina JC, Ivtzan I, Rupprecht S, Eiroa-Orosa FJ.","J Clin Psychol. 2018 Mar;74(3):319-355. doi: 10.1002/jclp.22515. Epub 2017 Jul 28.","Lomas T","J Clin Psychol","2018","2017/07/29","","","10.1002/jclp.22515"
"20882729","Mindfulness-based stress reduction for solid organ transplant recipients: a randomized controlled trial","Gross CR, Kreitzer MJ, Thomas W, Reilly-Spong M, Cramer-Bornemann M, Nyman JA, Frazier P, Ibrahim HN.","Altern Ther Health Med. 2010 Sep-Oct;16(5):30-8.","Gross CR","Altern Ther Health Med","2010","2010/10/02","PMC3076132","NIHMS271332",""
"25765144","Evaluating psychological interventions in a novel experimental human model of anxiety","Ainsworth B, Marshall JE, Meron D, Baldwin DS, Chadwick P, Munafò MR, Garner M.","J Psychiatr Res. 2015 Apr;63:117-22. doi: 10.1016/j.jpsychires.2015.02.001. Epub 2015 Feb 12.","Ainsworth B","J Psychiatr Res","2015","2015/03/14","PMC4406751","","10.1016/j.jpsychires.2015.02.001"
"15154154","Mindfulness meditation to reduce symptoms after organ transplant: a pilot study","Gross CR, Kreitzer MJ, Russas V, Treesak C, Frazier PA, Hertz MI.","Altern Ther Health Med. 2004 May-Jun;10(3):58-66.","Gross CR","Altern Ther Health Med","2004","2004/05/25","","",""
"15356953","Mindfulness meditation to reduce symptoms after organ transplant: a pilot study","Gross CR, Kreitzer MJ, Russas V, Treesak C, Frazier PA, Hertz MI.","Adv Mind Body Med. 2004 Summer;20(2):20-9.","Gross CR","Adv Mind Body Med","2004","2004/09/11","","",""
"19998425","Mindfulness intervention for child abuse survivors","Kimbrough E, Magyari T, Langenberg P, Chesney M, Berman B.","J Clin Psychol. 2010 Jan;66(1):17-33. doi: 10.1002/jclp.20624.","Kimbrough E","J Clin Psychol","2010","2009/12/10","","","10.1002/jclp.20624"
"27642375","A RCT Comparing Daily Mindfulness Meditations, Biofeedback Exercises, and Daily Physical Exercise on Attention Control, Executive Functioning, Mindful Awareness, Self-Compassion, and Worrying in Stressed Young Adults","de Bruin EI, van der Zwan JE, Bögels SM.","Mindfulness (N Y). 2016;7(5):1182-1192. doi: 10.1007/s12671-016-0561-5. Epub 2016 Jul 2.","de Bruin EI","Mindfulness (N Y)","2016","2016/09/20","PMC5010624","","10.1007/s12671-016-0561-5"
"23663534","Mindfulness-based intervention for teenagers with cancer: study protocol for a randomized controlled trial","Malboeuf-Hurtubise C, Achille M, Sultan S, Vadnais M.","Trials. 2013 May 10;14:135. doi: 10.1186/1745-6215-14-135.","Malboeuf-Hurtubise C","Trials","2013","2013/05/14","PMC3655094","","10.1186/1745-6215-14-135"
"29457147","A Scoping Review of Health Outcomes Examined in Randomized Controlled Trials Using Guided Imagery","Giacobbi PR Jr, Stewart J, Chaffee K, Jaeschke AM, Stabler M, Kelley GA.","Prog Prev Med (N Y). 2017 Dec;2(7):e0010. doi: 10.1097/pp9.0000000000000010.","Giacobbi PR Jr","Prog Prev Med (N Y)","2017","2018/02/20","PMC5812272","NIHMS910501","10.1097/pp9.0000000000000010"
"29679670","Mindfulness-based relapse prevention combined with virtual reality cue exposure for methamphetamine use disorder: Study protocol for a randomized controlled trial","Chen XJ, Wang DM, Zhou LD, Winkler M, Pauli P, Sui N, Li YH.","Contemp Clin Trials. 2018 Jul;70:99-105. doi: 10.1016/j.cct.2018.04.006. Epub 2018 Apr 19.","Chen XJ","Contemp Clin Trials","2018","2018/04/22","","","10.1016/j.cct.2018.04.006"
"22794787","Mindfulness-based cognitive therapy versus psycho-education for patients with major depression who did not achieve remission following antidepressant treatment: a preliminary analysis","Chiesa A, Mandelli L, Serretti A.","J Altern Complement Med. 2012 Aug;18(8):756-60. doi: 10.1089/acm.2011.0407. Epub 2012 Jul 13.","Chiesa A","J Altern Complement Med","2012","2012/07/17","","","10.1089/acm.2011.0407"
"24029559","School-based mindfulness instruction for urban male youth: a small randomized controlled trial","Sibinga EM, Perry-Parrish C, Chung SE, Johnson SB, Smith M, Ellen JM.","Prev Med. 2013 Dec;57(6):799-801. doi: 10.1016/j.ypmed.2013.08.027. Epub 2013 Sep 9.","Sibinga EM","Prev Med","2013","2013/09/14","","","10.1016/j.ypmed.2013.08.027"
"22586252","MBSR vs aerobic exercise in social anxiety: fMRI of emotion regulation of negative self-beliefs","Goldin P, Ziv M, Jazaieri H, Hahn K, Gross JJ.","Soc Cogn Affect Neurosci. 2013 Jan;8(1):65-72. doi: 10.1093/scan/nss054. Epub 2012 May 13.","Goldin P","Soc Cogn Affect Neurosci","2013","2012/05/16","PMC3541489","","10.1093/scan/nss054"
"25744325","Mindfulness-based cognitive therapy vs. psycho-education for patients with major depression who did not achieve remission following antidepressant treatment","Chiesa A, Castagner V, Andrisano C, Serretti A, Mandelli L, Porcelli S, Giommi F.","Psychiatry Res. 2015 Apr 30;226(2-3):474-83. doi: 10.1016/j.psychres.2015.02.003. Epub 2015 Feb 18.","Chiesa A","Psychiatry Res","2015","2015/03/07","","","10.1016/j.psychres.2015.02.003"
"15695478","Patient perspectives: Kundalini yoga meditation techniques for psycho-oncology and as potential therapies for cancer","Shannahoff-Khalsa DS.","Integr Cancer Ther. 2005 Mar;4(1):87-100. doi: 10.1177/1534735404273841.","Shannahoff-Khalsa DS","Integr Cancer Ther","2005","2005/02/08","","","10.1177/1534735404273841"
"22347856","Mindfulness training alters emotional memory recall compared to active controls: support for an emotional information processing model of mindfulness","Roberts-Wolfe D, Sacchet MD, Hastings E, Roth H, Britton W.","Front Hum Neurosci. 2012 Feb 13;6:15. doi: 10.3389/fnhum.2012.00015. eCollection 2012.","Roberts-Wolfe D","Front Hum Neurosci","2012","2012/02/21","PMC3277910","","10.3389/fnhum.2012.00015"
"28370730","Mind-body medicine and lifestyle modification in supportive cancer care: A cohort study on a day care clinic program for cancer patients","Jeitler M, Jaspers J, von Scheidt C, Koch B, Michalsen A, Steckhan N, Kessler CS.","Psychooncology. 2017 Dec;26(12):2127-2134. doi: 10.1002/pon.4433. Epub 2017 May 9.","Jeitler M","Psychooncology","2017","2017/04/04","","","10.1002/pon.4433"
"33449510","Brief preoperative mind-body therapies for total joint arthroplasty patients: a randomized controlled trial","Hanley AW, Gililland J, Erickson J, Pelt C, Peters C, Rojas J, Garland EL.","Pain. 2021 Jan 12. doi: 10.1097/j.pain.0000000000002195. Online ahead of print.","Hanley AW","Pain","2021","2021/01/15","","","10.1097/j.pain.0000000000002195"
